MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21707450,1325000,85718,-110.926.211,32.295.762,1,11018.4,2007,4,5,4556,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,Concrete,4
21810401,1376272,85755,-110.971.853,32.462.487,1.36,12.08,2018,3,3,3557,3,"Dishwasher, Double Sink, Electric Range, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Water Purifier, Appliance Color: Stainless, Countertops: Granite",1,"Carpet, Ceramic Tile",212.88
21503798,1275000,85658,-111.053.208,32.482.189,01.07,13889.2,2010,3,4,3778,3,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3,"Carpet, Natural Stone",143
21426723,1265000,85755,-110.993.815,32.455.826,0.95,15910.01,2009,3,4,4945,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone, Wood",167
21524128,1337500,85755,-110.995.869,32.471.382,01.04,21218.1,2005,4,6,5819,3,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4,"Carpet, Natural Stone, Wood",166
21125781,1295000,85718,-110.943.727,32.337.936,0.9,12433,2006,4,5,4191,3,"Dishwasher, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone, Wood",159
21722152,1323000,85715,-110.859.527,32.262.884,1.17,9405.02,1968,4,5,4801,3,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite",2,"Mexican Tile, Wood",48
21916903,1285000,85755,-110.993.658,32.460.019,0.63,14722.89,2008,3,4,4209,3,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built In",3,Natural Stone,232
21221499,1189550,85658,-111.100.125,32.469.548,0.29,845.18,2010,3,4,2990,3,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Concrete, Natural Stone, Wood",550
21412499,1225000,85749,-110.753.448,3.223.818,3.93,9054,2007,4,5,5419,4,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Natural Stone",0
21610400,1275000,85718,-110.929.391,32.343.482,01.01,10500,2007,4,5,4615,3,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2,Natural Stone,100
